SmartLog JointAnalysis v1.0 - Tubing Thickness
188, 16, 16
Item,Top,Bottom,Length,NomOD,Weight,TNom,TMin,TMax,TAvg,TRmn,MaxLoss%,DptMxLos,AvLoss %,Defect %,Grade,Comment
1,35,53.2881205738485,18.2881205738485,4.5,11.6,0.25,0,0.257408793101924,0.229129591238756,0.0208704087612442,100,35.1333282470703,8.34816350449767,100,Intensive,
2,55.2881205738485,89.8062871428597,34.5181665690112,4.5,11.6,0.25,0.241182703323741,0.256271775425752,0.248011291858707,0.00198870814129259,3.52691867050372,62.4666641235352,0.795483256517038,2.75333775482165,Light,
3,91.8062871428597,98.2200874915543,6.41380034869455,4.5,11.6,0.25,0.256215520688409,0.303042757426077,0.26065528610873,-0.0106552861087302,-2.48620827536379,93.8833282470703,-4.26211444349207,1.70330918148681,Negligible,
4,100.220087491554,106.633887840249,6.41380034869457,4.5,11.6,0.25,0.236767283839365,0.263098325464579,0.245029103897315,0.00497089610268528,5.29308646425416,104.05,1.98835844107411,3.37177091477771,Negligible,
5,108.633887840249,147.345825011352,38.7119371711027,4.5,11.6,0.25,0.240914698904832,0.277982472521617,0.246218590244877,0.00378140975512281,3.6341204380672,144.383312988281,1.51256390204912,2.15413926900085,Light,
6,149.345825011352,187.78634926798,38.4405242566287,4.5,11.6,0.25,0.242745395321089,0.262278595339976,0.249330986033337,0.000669013966663162,2.90184187156457,185.05,0.267605586665265,2.641304563472,Negligible,
7,189.78634926798,228.226873524609,38.4405242566286,4.5,11.6,0.25,0.242463305909203,0.266373198152314,0.24677260578296,0.00322739421704035,3.01467763631873,225.133312988281,1.29095768681614,1.74626347202678,Light,
8,230.226873524609,268.938810695712,38.7119371711028,4.5,11.6,0.25,0.240550087078307,0.278478192286115,0.249352021437036,0.000647978562964474,3.77996516867735,264.466625976562,0.25919142518579,3.5299230012264,Light,
9,270.938810695712,308.836509123392,37.8976984276806,4.5,11.6,0.25,0.241284338761249,0.268487485526226,0.24662602603369,0.00337397396631028,3.48626449550029,304.216625976562,1.34958958652411,2.16590574739697,Light,
10,310.836509123392,347.648555893177,36.8120467697846,4.5,11.6,0.25,0.237953324336299,0.256622691311963,0.247554593393784,0.00244540660621564,4.81867026548051,345.05,0.978162642486258,3.87844512430958,Light,
